Workbar:,9
Process:,EmptyLine
FileName:,20220815_452 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-15 06:15:08, ,0,0:01,0:02,,,,,

32,Station 45 Unload Shuttle,2022-08-15 04:52:22,2022-08-15 04:54:23,2:01,0:00,0:00,,,,,

33,Station 51 Unload,2022-08-15 04:55:13,2022-08-15 05:01:55,6:42,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-08-15 05:02:19,2022-08-15 05:07:49,5:30,0:00,1:00,,,,,

35,Station 3 Que,2022-08-15 05:08:19,2022-08-15 05:53:28,45:09,0:00,2:30,,,,,

36,Station 5 Strip,2022-08-15 05:53:58,2022-08-15 06:03:35,9:37,7:00,7:30,,,,,

37,Station 6 Rinse,2022-08-15 06:04:04,2022-08-15 06:14:39,10:35,0:15,0:16,,,,,

