Workbar:,13
Process:,10B Copper
FileName:,20220815_453 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-15 06:33:42, ,0,0:01,0:30,,,,,

21,Station 44 Dryer,2022-08-15 04:53:29,2022-08-15 05:08:56,15:27,5:00,9:00,,,,,

22,Station 45 Unload Shuttle,2022-08-15 05:09:29,2022-08-15 05:09:36,0:07,0:00,0:00,,,,,

23,Station 51 Unload,2022-08-15 05:10:26,2022-08-15 05:18:14,7:48,0:00,0:00,,,,,

24,Station 1 Unload Shuttle,2022-08-15 05:18:39,2022-08-15 05:20:01,1:22,0:00,1:00,,,,,

25,Station 4 Que,2022-08-15 05:20:32,2022-08-15 06:15:26,54:54,0:00,2:30,,,,,

26,Station 5 Strip,2022-08-15 06:15:55,2022-08-15 06:24:02,8:07,7:00,7:30,,,,,

27,Station 6 Rinse,2022-08-15 06:24:31,2022-08-15 06:33:13,8:42,0:15,0:16,,,,,

