Workbar:,13
Process:,EmptyLine
FileName:,20220914_139 PM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-09-14 13:40:22,2022-09-14 13:41:17,0:55,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-09-14 13:41:47,2022-09-14 13:47:17,5:30,4:00,5:30,,,,,

3,Station 9 Rinse,2022-09-14 13:47:48,2022-09-14 13:57:56,10:08,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-09-14 13:58:26,2022-09-14 14:01:07,2:41,2:00,2:10,,,,,

5,Station 11 Rinse,2022-09-14 14:01:37,2022-09-14 14:05:34,3:57,0:00,1:30,,,,,

6,Station 12 Rinse,2022-09-14 14:06:04,2022-09-14 14:07:55,1:51,0:05,3:00,,,,,

7,Station 13 Rinse,2022-09-14 14:08:24,2022-09-14 14:09:14,0:50,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-09-14 14:09:44,2022-09-14 14:10:17,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-09-14 14:10:47,2022-09-14 14:13:03,2:16,0:00,1:00,,,,,

10,Station 16 Rinse,2022-09-14 14:13:32,2022-09-14 14:21:04,7:32,0:15,1:00,,,,,

11,Station 17 CN Copper Plate,2022-09-14 14:21:33,2022-09-15 04:06:49,825:16,24:00,24:10,,,,,

12,Station 19 Rinse,2022-09-15 04:07:22,2022-09-15 04:09:17,1:55,0:00,1:00,,,,,

13,Station 20 Rinse,2022-09-15 04:09:46,2022-09-15 04:12:48,3:02,0:05,1:00,,,,,

14,Station 21 Rinse,2022-09-15 04:13:17,2022-09-15 04:16:14,2:57,1:00,3:00,,,,,

15,Station 22 Acid,2022-09-15 04:16:44,2022-09-15 04:17:07,0:23,0:15,0:30,,,,,

16,Station 23 Rinse,2022-09-15 04:17:37,2022-09-15 04:17:40,0:03,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-09-15 04:18:10,2022-09-15 04:18:16,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-09-15 04:18:39,2022-09-15 04:18:54,0:15,0:00,10:00,,,,,

19,Station 27 Acid Copper Plate,2022-09-15 04:19:25,2022-09-15 04:33:52,14:27,12:00,13:00,,,,,

20,Station 28 Rinse,2022-09-15 04:34:21,2022-09-15 04:34:24,0:03,0:00,0:15,,,,,

21,Station 29 Rinse,2022-09-15 04:34:52,2022-09-15 04:34:59,0:07,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-09-15 04:35:28,2022-09-15 04:36:55,1:27,1:00,2:00,,,,,

23,Station 34 Nickel Plate,2022-09-15 04:37:31,2022-09-15 05:03:14,25:43,25:00,26:00,,,,,

24,Station 35 Rinse,2022-09-15 05:03:43,2022-09-15 05:03:45,0:02,0:00,0:15,,,,,

25,Station 36 Rinse,2022-09-15 05:04:13,2022-09-15 05:04:47,0:34,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-09-15 05:05:20,2022-09-15 05:08:25,3:05,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-09-15 05:08:54,2022-09-15 05:13:12,4:18,3:30,4:00,,,,,

28,Station 41 Rinse,2022-09-15 05:13:42,2022-09-15 05:13:44,0:02,0:00,0:15,,,,,

29,Station 42 Rinse,2022-09-15 05:14:12,2022-09-15 05:14:19,0:07,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-09-15 05:14:48,2022-09-15 05:15:55,1:07,1:00,2:00,,,,,

31,Station 44 Dryer,2022-09-15 05:16:24,2022-09-15 05:21:34,5:10,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-09-15 05:22:07,2022-09-15 05:22:14,0:07,0:00,0:00,,,,,

33,Station 51 Unload,2022-09-15 05:23:04,2022-09-15 05:23:21,0:17,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-09-15 05:23:45,2022-09-15 05:27:13,3:28,0:00,1:00,,,,,

35,Station 4 Que,2022-09-15 05:27:45,2022-09-15 06:23:26,55:41,0:00,2:30,,,,,

36,Station 5 Strip,2022-09-15 06:23:55,2022-09-15 06:31:32,7:37,7:00,7:30,,,,,

37,Station 6 Rinse,2022-09-15 06:32:02,2022-09-15 06:32:27,0:25,0:15,0:16,,,,,

