Workbar:,5
Process:,EmptyLine
FileName:,20220916_1128 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-09-16 11:28:42,2022-09-16 11:34:01,5:19,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-09-16 11:34:32,2022-09-16 11:41:05,6:33,4:00,5:30,,,,,

3,Station 9 Rinse,2022-09-16 11:41:36,2022-09-16 11:42:51,1:15,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-09-16 11:43:22,2022-09-16 11:45:32,2:10,2:00,2:10,,,,,

5,Station 11 Rinse,2022-09-16 11:46:03,2022-09-16 11:47:59,1:56,0:00,1:30,,,,,

6,Station 12 Rinse,2022-09-16 11:48:30,2022-09-16 11:55:24,6:54,0:05,3:00,,,,,

7,Station 13 Rinse,2022-09-16 11:55:53,2022-09-16 11:57:44,1:51,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-09-16 11:58:14,2022-09-16 11:58:48,0:34,0:25,0:30,,,,,

9,Station 15 Rinse,2022-09-16 11:59:17,2022-09-16 12:01:01,1:44,0:00,1:00,,,,,

10,Station 16 Rinse,2022-09-16 12:01:31,2022-09-16 12:02:32,1:01,0:15,1:00,,,,,

11,Station 18 CN Copper Plate,2022-09-16 12:03:05,2022-09-16 12:27:15,24:10,24:00,24:10,,,,,

12,Station 19 Rinse,2022-09-16 12:27:45,2022-09-16 12:29:07,1:22,0:00,1:00,,,,,

13,Station 20 Rinse,2022-09-16 12:29:37,2022-09-16 12:29:44,0:07,0:05,1:00,,,,,

14,Station 21 Rinse,2022-09-16 12:30:13,2022-09-16 12:33:45,3:32,1:00,3:00,,,,,

15,Station 22 Acid,2022-09-16 12:34:14,2022-09-16 12:34:38,0:24,0:15,0:30,,,,,

16,Station 23 Rinse,2022-09-16 12:35:08,2022-09-16 12:35:11,0:03,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-09-16 12:35:41,2022-09-16 12:35:47,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-09-16 12:36:10,2022-09-16 12:39:34,3:24,0:00,10:00,,,,,

19,Station 27 Acid Copper Plate,2022-09-16 12:40:06,2022-09-16 12:52:30,12:24,12:00,13:00,,,,,

20,Station 28 Rinse,2022-09-16 12:52:59,2022-09-16 12:53:01,0:02,0:00,0:15,,,,,

21,Station 29 Rinse,2022-09-16 12:53:30,2022-09-16 12:53:37,0:07,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-09-16 12:54:06,2022-09-16 13:08:16,14:10,1:00,2:00,,,,,

23,Station 33 Nickel Plate,2022-09-16 13:08:49,2022-09-19 04:05:48,3776:59,25:00,26:00,,,,,

24,Station 35 Rinse,2022-09-19 04:06:19,2022-09-19 04:06:22,0:03,0:00,0:15,,,,,

25,Station 36 Rinse,2022-09-19 04:06:50,2022-09-19 04:07:24,0:34,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-09-19 04:07:57,2022-09-19 04:09:28,1:31,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-09-19 04:09:57,2022-09-19 04:13:36,3:39,3:30,4:00,,,,,

28,Station 41 Rinse,2022-09-19 04:14:05,2022-09-19 04:14:08,0:03,0:00,0:15,,,,,

29,Station 42 Rinse,2022-09-19 04:14:36,2022-09-19 04:14:43,0:07,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-09-19 04:15:11,2022-09-19 04:16:17,1:06,1:00,2:00,,,,,

31,Station 44 Dryer,2022-09-19 04:16:47,2022-09-19 04:21:56,5:09,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-09-19 04:22:29,2022-09-19 04:22:36,0:07,0:00,0:00,,,,,

33,Station 51 Unload,2022-09-19 04:23:26,2022-09-19 04:23:40,0:14,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-09-19 04:24:05,2022-09-19 04:26:08,2:03,0:00,1:00,,,,,

35,Station 3 Que,2022-09-19 04:26:38,2022-09-19 05:33:36,66:58,0:00,2:30,,,,,

36,Station 5 Strip,2022-09-19 05:34:07,2022-09-19 05:42:00,7:53,7:00,7:30,,,,,

37,Station 6 Rinse,2022-09-19 05:42:30,2022-09-19 05:47:37,5:07,0:15,0:16,,,,,

