Workbar:,3
Process:,EmptyLine
FileName:,20220824_941 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-24 10:31:21, ,0,0:01,0:02,,,,,

32,Station 45 Unload Shuttle,2022-08-24 09:42:00,2022-08-24 09:42:04,0:04,0:00,0:00,,,,,

33,Station 51 Unload,2022-08-24 09:42:54,2022-08-24 09:43:19,0:25,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-08-24 09:43:44,2022-08-24 09:44:59,1:15,0:00,1:00,,,,,

35,Station 2 Que,2022-08-24 09:45:28,2022-08-24 10:15:21,29:53,0:00,2:30,,,,,

36,Station 5 Strip,2022-08-24 10:15:53,2022-08-24 10:23:28,7:35,7:00,7:30,,,,,

37,Station 6 Rinse,2022-08-24 10:23:57,2022-08-24 10:30:51,6:54,0:15,0:16,,,,,

