Workbar:,9
Process:,EmptyLine
FileName:,20220831_1256 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-31 12:57:18,2022-08-31 13:30:20,33:02,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-08-31 13:30:50,2022-08-31 13:34:57,4:07,4:00,5:30,,,,,

3,Station 9 Rinse,2022-08-31 13:35:27,2022-08-31 13:35:30,0:03,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-08-31 13:36:01,2022-08-31 13:38:10,2:09,2:00,2:10,,,,,

5,Station 11 Rinse,2022-08-31 13:38:40,2022-08-31 13:38:42,0:02,0:00,1:30,,,,,

6,Station 12 Rinse,2022-08-31 13:39:13,2022-09-01 05:30:28,951:15,0:05,3:00,,,,,

7,Station 13 Rinse,2022-09-01 05:30:57,2022-09-01 05:45:51,14:54,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-09-01 05:46:21,2022-09-01 05:46:54,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-09-01 05:47:25,2022-09-01 05:47:27,0:02,0:00,1:00,,,,,

10,Station 16 Rinse,2022-09-01 05:47:56,2022-09-01 05:48:50,0:54,0:15,1:00,,,,,

11,Station 17 CN Copper Plate,2022-09-01 05:49:20,2022-09-01 06:13:32,24:12,24:00,24:10,,,,,

12,Station 19 Rinse,2022-09-01 06:14:05,2022-09-01 06:16:15,2:10,0:00,1:00,,,,,

13,Station 20 Rinse,2022-09-01 06:16:45,2022-09-01 06:19:59,3:14,0:05,1:00,,,,,

14,Station 21 Rinse,2022-09-01 06:20:28,2022-09-01 06:23:56,3:28,1:00,3:00,,,,,

15,Station 22 Acid,2022-09-01 06:24:26,2022-09-01 06:24:48,0:22,0:15,0:30,,,,,

16,Station 23 Rinse,2022-09-01 06:25:18,2022-09-01 06:26:55,1:37,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-09-01 06:27:25,2022-09-01 06:27:31,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-09-01 06:27:55,2022-09-01 06:28:36,0:41,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-09-01 06:29:06,2022-09-01 06:41:17,12:11,12:00,13:00,,,,,

20,Station 28 Rinse,2022-09-01 06:41:48,2022-09-01 06:41:51,0:03,0:00,0:15,,,,,

21,Station 29 Rinse,2022-09-01 06:42:19,2022-09-01 06:42:25,0:06,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-09-01 06:42:54,2022-09-01 06:45:30,2:36,1:00,2:00,,,,,

23,Station 33 Nickel Plate,2022-09-01 06:46:03,2022-09-01 07:11:17,25:14,25:00,26:00,,,,,

24,Station 35 Rinse,2022-09-01 07:11:48,2022-09-01 07:11:51,0:03,0:00,0:15,,,,,

25,Station 36 Rinse,2022-09-01 07:12:19,2022-09-01 07:12:52,0:33,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-09-01 07:13:25,2022-09-01 07:14:57,1:32,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-09-01 07:15:26,2022-09-01 07:20:44,5:18,3:30,4:00,,,,,

28,Station 41 Rinse,2022-09-01 07:21:13,2022-09-01 07:21:16,0:03,0:00,0:15,,,,,

29,Station 42 Rinse,2022-09-01 07:21:44,2022-09-01 07:21:51,0:07,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-09-01 07:22:19,2022-09-01 07:23:26,1:07,1:00,2:00,,,,,

31,Station 44 Dryer,2022-09-01 07:23:55,2022-09-01 07:30:12,6:17,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-09-01 07:30:45,2022-09-01 07:30:53,0:08,0:00,0:00,,,,,

33,Station 51 Unload,2022-09-01 07:31:43,2022-09-01 07:32:05,0:22,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-09-01 07:32:30,2022-09-01 07:35:30,3:00,0:00,1:00,,,,,

35,Station 2 Que,2022-09-01 07:35:59,2022-09-01 08:00:53,24:54,0:00,2:30,,,,,

36,Station 5 Strip,2022-09-01 08:01:25,2022-09-01 08:09:20,7:55,7:00,7:30,,,,,

37,Station 6 Rinse,2022-09-01 08:09:50,2022-09-01 08:11:30,1:40,0:15,0:16,,,,,

