Workbar:,13
Process:,EmptyLine
FileName:,20220912_143 PM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-09-12 13:44:05,2022-09-12 14:09:36,25:31,0:01,0:02,,,,,

2,Station 8 Cleaner,2022-09-12 14:10:05,2022-09-12 14:14:13,4:08,4:00,5:30,,,,,

3,Station 9 Rinse,2022-09-12 14:14:44,2022-09-12 14:14:46,0:02,0:00,2:00,,,,,

4,Station 10 Electroclean,2022-09-12 14:15:16,2022-09-12 14:17:26,2:10,2:00,2:10,,,,,

5,Station 11 Rinse,2022-09-12 14:17:57,2022-09-12 14:18:55,0:58,0:00,1:30,,,,,

6,Station 12 Rinse,2022-09-12 14:19:25,2022-09-13 06:11:40,952:15,0:05,3:00,,,,,

7,Station 13 Rinse,2022-09-13 06:12:09,2022-09-13 06:15:02,2:53,0:15,2:00,,,,,

8,Station 14 Acid Clean,2022-09-13 06:15:32,2022-09-13 06:16:05,0:33,0:25,0:30,,,,,

9,Station 15 Rinse,2022-09-13 06:16:35,2022-09-13 06:20:14,3:39,0:00,1:00,,,,,

10,Station 16 Rinse,2022-09-13 06:20:43,2022-09-13 06:23:20,2:37,0:15,1:00,,,,,

11,Station 17 CN Copper Plate,2022-09-13 06:23:50,2022-09-13 06:48:18,24:28,24:00,24:10,,,,,

12,Station 19 Rinse,2022-09-13 06:48:51,2022-09-13 06:49:46,0:55,0:00,1:00,,,,,

13,Station 20 Rinse,2022-09-13 06:50:16,2022-09-13 06:50:23,0:07,0:05,1:00,,,,,

14,Station 21 Rinse,2022-09-13 06:50:52,2022-09-13 06:52:27,1:35,1:00,3:00,,,,,

15,Station 22 Acid,2022-09-13 06:52:56,2022-09-13 06:53:19,0:23,0:15,0:30,,,,,

16,Station 23 Rinse,2022-09-13 06:53:49,2022-09-13 06:56:20,2:31,0:00,0:30,,,,,

17,Station 24 Shuttle,2022-09-13 06:56:50,2022-09-13 06:56:56,0:06,0:00,0:00,,,,,

18,Station 25 Shuttle,2022-09-13 06:57:20,2022-09-13 06:58:01,0:41,0:00,10:00,,,,,

19,Station 26 Acid Copper Plate,2022-09-13 06:58:31,2022-09-13 07:10:53,12:22,12:00,13:00,,,,,

20,Station 28 Rinse,2022-09-13 07:11:24,2022-09-13 07:11:27,0:03,0:00,0:15,,,,,

21,Station 29 Rinse,2022-09-13 07:11:54,2022-09-13 07:12:01,0:07,0:05,0:15,,,,,

22,Station 30 Nickel Activator,2022-09-13 07:12:30,2022-09-13 07:13:37,1:07,1:00,2:00,,,,,

23,Station 33 Nickel Plate,2022-09-13 07:14:10,2022-09-13 07:39:25,25:15,25:00,26:00,,,,,

24,Station 35 Rinse,2022-09-13 07:39:56,2022-09-13 07:39:59,0:03,0:00,0:15,,,,,

25,Station 36 Rinse,2022-09-13 07:40:26,2022-09-13 07:41:00,0:34,0:05,0:15,,,,,

26,Station 39 Acid PreDip,2022-09-13 07:41:33,2022-09-13 07:42:45,1:12,1:00,2:00,,,,,

27,Station 40 Trivalent Chrome,2022-09-13 07:43:14,2022-09-13 07:47:28,4:14,3:30,4:00,,,,,

28,Station 41 Rinse,2022-09-13 07:47:57,2022-09-13 07:47:59,0:02,0:00,0:15,,,,,

29,Station 42 Rinse,2022-09-13 07:48:27,2022-09-13 07:48:34,0:07,0:05,0:15,,,,,

30,Station 43 Hot Rinse,2022-09-13 07:49:02,2022-09-13 07:51:48,2:46,1:00,2:00,,,,,

31,Station 44 Dryer,2022-09-13 07:52:17,2022-09-13 07:57:26,5:09,5:00,9:00,,,,,

32,Station 45 Unload Shuttle,2022-09-13 07:57:59,2022-09-13 07:58:07,0:08,0:00,0:00,,,,,

33,Station 51 Unload,2022-09-13 07:58:56,2022-09-13 08:01:41,2:45,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-09-13 08:02:05,2022-09-13 08:02:58,0:53,0:00,1:00,,,,,

35,Station 2 Que,2022-09-13 08:03:27,2022-09-13 08:41:07,37:40,0:00,2:30,,,,,

36,Station 5 Strip,2022-09-13 08:41:39,2022-09-13 08:48:57,7:18,7:00,7:30,,,,,

37,Station 6 Rinse,2022-09-13 08:49:26,2022-09-13 08:54:24,4:58,0:15,0:16,,,,,

